stage,functional,deltaV,minSeparation,minRobustMargin,finalPositionError,postEncounterRmsError,Q1,Q2,Q3,Q4,Q5,Q6,R1,R2,R3,S1,S2,S3
local,1,4.35811449176592,370.155517899166,267.9218840935,78.4814593503946,155.718014757495,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,4904.36598474405,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,0,5.2146556961489,434.398385254485,331.382631236383,151.097127686996,287.606298270355,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,1231.92103722357,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
local,1,3.79162590939452,390.199607481445,287.327077879838,115.649920016278,193.37648736692,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,3923.49278779524,76824.6072759198,192061.518189799,307298.429103679
local,1,3.8171623281455,387.716047743683,284.781046835568,75.3800085051898,147.632659965169,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,985.536829778857,76824.6072759198,192061.518189799,307298.429103679
local,0,5.35240587073138,536.085064284635,432.932462300439,269.939600091234,380.945425047281,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,153285.243759927,192061.518189799,307298.429103679
local,1,3.78613058707549,395.595039547611,292.616713588534,91.1939701909271,162.351579085519,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,38503.5123951198,192061.518189799,307298.429103679
local,0,4.82631016735668,446.101204991802,325.1747005893,202.552936232608,293.304494314668,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,383213.109399817,307298.429103679
local,1,4.63505196947565,382.093583881305,279.713177373368,112.534084745816,209.165321938499,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,96258.7809877996,307298.429103679
local,1,4.60925158695381,385.079289149396,279.004653596485,155.158887608691,207.865997092483,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,613140.975039707
local,1,4.23796099128838,401.84169937096,299.543949459297,94.3273940450378,151.062815026851,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,154014.049580479
local,1,3.7835282362326,419.196145603978,316.91142811996,45.2426309691019,117.233509590312,9.42771493692085e-07,5.54189550075409e-07,1.87461218332585e-06,4.66281374538237e-08,1.14408316902373e-07,1.61471197049377e-07,3166.49699956569,2393.45731856859,1815.01651981846,95432.2853819414,215320.360040726,800000
local,1,5.44148418652732,412.036378213007,309.54231029399,71.9070323842935,152.746187277672,7.83396015338889e-07,2.91836824108326e-07,6.97354495181815e-07,1.67548635833101e-07,1.64568141675218e-07,1.68065134958837e-07,2621.1159856021,1246.83988933601,2073.15862417132,52241.8530236951,412291.492079364,159820.675773185
local,1,4.50868064241074,442.060311940122,340.873765733614,121.75067007133,221.660927230367,7.54316756254213e-07,9.2671610250471e-07,8.9068880920337e-07,1.02836693854373e-07,1.3111225479551e-07,6.70746961783228e-08,5931.19133377762,4397.00013064398,2576.43015273669,76155.4350811843,193812.396807121,522641.665288992
local,1,3.45541649827731,369.22946213123,219.050837681611,69.6695619050641,130.333940571043,9.26718858676677e-07,4.62381429987331e-07,1.31774020937274e-06,2.15552796309003e-07,5.76199848174794e-08,1.45674032140274e-07,7720.73402643224,2981.07299192983,1148.69429264523,78595.4295633485,235173.264706014,537380.158948479
local,1,3.77446995234608,441.385666724257,338.181658557837,155.974568092032,247.250463871511,3.29494672151085e-07,7.22583956196552e-07,2.09404239205438e-06,3.64795849845945e-07,1.74489436574226e-07,1.83138804395111e-07,4275.88601413179,5757.79461125301,1285.29183449078,121397.010016868,406471.768593184,342861.901780872
local,1,4.35629371334165,387.251239595348,287.926082637587,118.354679040076,183.502621166615,1.09028314372603e-06,5.66842084207682e-07,7.9357700921157e-07,3.62086353573491e-07,6.08888851630966e-08,1.29522138485072e-07,7343.02126736274,4408.76929482664,428.110642784956,22539.7624349294,230281.726298271,511101.780401291
local,1,3.70727462923912,371.228919195756,268.122100674489,126.756709953121,197.649446102041,1.41769074040144e-06,2.33048874264951e-07,1.33106380510873e-06,1.52941737817236e-07,4.20355180593139e-08,9.20765974757104e-08,11456.7616966422,1666.45703150154,4075.72115166717,43757.955711048,415293.763926526,502917.499605422
local,0,4.81497920942138,365.614452892811,263.358567580274,229.873836077231,292.410578936213,1.12360436067654e-06,5.02546878792977e-07,1.16791216603491e-06,2.72084005745985e-07,3.25472380383899e-08,1.33448490856278e-07,27394.1980728941,1336.95179084593,660.43358264514,25412.883326729,274942.147782072,800000
full,1,4.30600231845491,349.877445432779,248.062460600262,40.63459397847,59.7109693740922,9.26718858676677e-07,4.62381429987331e-07,1.31774020937274e-06,2.15552796309003e-07,5.76199848174794e-08,1.45674032140274e-07,7720.73402643224,2981.07299192983,1148.69429264523,78595.4295633485,235173.264706014,537380.158948479
full,1,6.36185227967888,452.70768639842,348.36471179922,46.5091216639488,101.239068211587,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
full,1,7.38812194677703,402.049255019038,298.819177935017,14.0057071735906,86.9652100998872,4.6986587202908e-07,4.6986587202908e-07,9.37505667549614e-07,9.3973174405816e-08,9.3973174405816e-08,9.41963106312483e-08,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
full,1,5.98259796698643,392.665353948767,290.648142447467,30.6589284980708,96.7071267499836,4.6986587202908e-07,4.6986587202908e-07,4.6986587202908e-07,9.3973174405816e-08,9.3973174405816e-08,1.87946348811632e-07,3277.34082745275,2458.00562058957,1966.40449647165,76824.6072759198,192061.518189799,307298.429103679
full,1,6.39819499578923,350.835684821703,194.169075746876,32.9767066356462,62.0419341524118,5e-07,5e-07,5e-07,1e-07,1e-07,2e-07,6000,4500,3600,20000,50000,80000
full,1,4.68535411894476,380.552088529425,277.795196864367,37.5304072076872,61.2280179059723,5.96352113662056e-07,5.96352113662056e-07,5.96352113662056e-07,1.19270422732411e-07,1.19270422732411e-07,2.38540845464822e-07,5139.17454243322,3854.38090682491,3083.50472545993,98780.3263974263,246950.815993566,395121.305589705
