# Serie temporal de la incertidumbre de navegacion del filtro.
t_s,sigma_nav_m,time_since_fix_s
2505,6.071731776,0
2508,5.329123623,0
2511,4.995235622,0
2514,4.83694749,0
2517,4.760327674,0
2520,4.722899667,0
2523,4.704538884,0
2526,4.695513156,0
2529,4.69107192,0
2532,4.688885361,0
2535,4.687808542,0
2538,4.687278109,0
2541,4.687016919,0
2544,4.686888253,0
2547,4.68682495,0
2550,4.686793841,0
2553,4.686778552,0
2556,4.686770951,0
2559,4.686767181,0
2562,5.595597397,2
2565,6.501180736,5
2568,7.504227295,8
2571,8.649432952,11
2574,9.945734486,14
2577,11.37911105,17
2580,12.92183273,20
2583,14.53907346,23
2586,16.19368456,26
2589,17.84961301,29
2592,19.4741027,32
2595,21.038785,35
2598,22.51999366,38
2601,23.89876421,41
2604,25.16085474,44
2607,26.29685733,47
2610,27.30225779,50
2613,28.17726029,53
2616,28.92628969,56
2619,29.55719824,59
2622,30.08030162,62
2625,30.50739251,65
2628,30.85084766,68
2631,31.12290782,71
2634,31.33515175,74
2637,31.49815868,77
2640,31.62132745,80
2643,31.7128145,83
2646,31.77955895,86
2649,31.82735726,89
2652,31.86097318,92
2655,31.88425641,95
2658,31.90026537,98
2661,31.91138574,101
2664,31.91943826,104
2667,31.925777,107
2670,31.9313756,110
2673,31.93690234,113
2676,31.94278421,116
2679,31.9492628,119
2682,31.95643912,122
2685,31.96431247,125
2688,31.97281098,128
2691,31.98181764,131
2694,31.99118926,134
2697,32.00077234,137
2700,32.01041411,140
2703,32.01997104,143
2706,32.02931456,146
2709,32.03833336,149
2712,32.04693643,152
2715,32.05505304,155
2718,32.06263143,158
2721,32.06963841,161
2724,32.07605635,164
2727,32.08188221,167
2730,32.08712485,170
2733,32.09180301,173
2736,32.09594294,176
2739,32.0995772,179
2742,32.10274122,182
2745,32.10547394,185
2748,32.10781469,188
2751,32.10980309,191
2754,32.11147747,194
2757,32.11287586,197
2760,32.11403287,200
2763,32.1149811,203
2766,32.11575033,206
2769,32.116368,209
2772,32.11685836,212
2775,32.11724279,215
2778,32.11754024,218
2781,32.11776703,221
2784,32.11793721,224
2787,32.11806274,227
2790,32.11815352,230
2793,32.11821773,233
2796,32.11826223,236
2799,32.11829255,239
2802,32.11831292,242
2805,32.11832651,245
2808,32.11833611,248
2811,32.11834361,251
2814,32.11835023,254
2817,32.1183567,257
2820,32.11836392,260
2823,32.11837219,263
2826,32.1183813,266
2829,32.11839154,269
2832,32.1184028,272
2835,32.11841497,275
2838,32.11842727,278
2841,32.11844028,281
2844,32.11845328,284
2847,32.11846634,287
2850,32.11847902,290
2853,32.1184912,293
2856,32.11850288,296
2859,32.11851375,299
2862,8.021055365,0
2865,6.071732029,0
2868,5.329123866,0
2871,4.995235745,0
2874,4.836947504,0
2877,4.76032771,0
2880,4.722899589,0
2883,4.704538642,0
2886,4.695512981,0
2889,4.691071772,0
2892,4.688885279,0
2895,4.687808535,0
2898,4.687278189,0
2901,4.68701698,0
2904,4.686888506,0
2907,4.68682494,0
2910,4.686793927,0
2913,4.686778367,0
2916,4.686770879,0
2919,4.686766921,0
2922,5.595597342,2
2925,6.501180282,5
2928,7.504226893,8
2931,8.649433035,11
2934,9.945734693,14
2937,11.37911132,17
2940,12.92183285,20
2943,14.53907336,23
2946,16.1936841,26
2949,17.84961261,29
2952,19.47410225,32
2955,21.03878435,35
2958,22.51999281,38
2961,23.89876304,41
2964,25.16085352,44
2967,26.29685595,47
2970,27.30225592,50
2973,28.17725827,53
2976,28.92628774,56
2979,29.55719584,59
2982,30.08029862,62
2985,30.50738902,65
2988,30.85084424,68
2991,31.12290478,71
2994,31.33514861,74
2997,31.49815602,77
3000,31.62132469,80
3003,31.7128117,83
3006,31.7795557,86
3009,31.82735414,89
3012,31.86096979,92
3015,31.8842528,95
3018,31.90026183,98
3021,31.91138189,101
3024,31.91943449,104
3027,31.9257734,107
3030,31.93137188,110
3033,31.93689889,113
3036,31.94278069,116
3039,31.94925913,119
3042,31.95643536,122
3045,31.9643089,125
3048,31.97280782,128
3051,31.98181444,131
3054,31.99118601,134
3057,32.00076881,137
3060,32.01041068,140
3063,32.01996801,143
3066,32.02931167,146
3069,32.03833002,149
3072,32.04693337,152
3075,32.05504996,155
3078,32.06262823,158
3081,32.06963486,161
3084,32.07605258,164
3087,32.08187839,167
3090,32.08712088,170
3093,32.09179936,173
3096,32.09593928,176
3099,32.09957336,179
3102,32.10273734,182
3105,32.10546964,185
3108,32.10781015,188
3111,32.10979848,191
3114,32.11147325,194
3117,32.11287139,197
3120,32.11402844,200
3123,32.11497686,203
3126,32.1157463,206
3129,32.11636415,209
3132,32.11685437,212
3135,32.11723874,215
3138,32.11753626,218
3141,32.11776319,221
3144,32.11793347,224
3147,32.11805938,227
3150,32.11815014,230
3153,32.1182144,233
3156,32.11825856,236
3159,32.11828887,239
3162,32.11830892,242
3165,32.11832247,245
3168,32.11833246,248
3171,32.11834003,251
3174,32.11834643,254
3177,32.11835307,257
3180,32.11835999,260
3183,32.1183685,263
3186,32.11837764,266
3189,32.11838785,269
