# Arquitectura propuesta: el guiado planifica la maniobra fuera del QP y el MPC solo sigue la referencia. Plazo de tiempo real 30 s.
t_s,solve_time_s,u_norm_ms2,violation_ms2,exitflag,qp_fallback
5370,0.0037962,5.66022294e-07,-0.04166620183,1,0
5400,0.0026828,4.855082289e-07,-0.04166630292,1,0
5430,0.0025957,4.156554957e-07,-0.04166635293,1,0
5460,0.0033954,3.561360806e-07,-0.04166636617,1,0
5490,0.0035385,3.067414234e-07,-0.04166638384,1,0
5520,0.0026906,2.673290678e-07,-0.04166640506,1,0
5550,0.0038669,2.376870736e-07,-0.04166642898,1,0
5580,0.0036073,2.173158882e-07,-0.04166644005,1,0
5610,0.0026977,2.052215358e-07,-0.04166644072,1,0
5640,0.0027205,1.998911259e-07,-0.04166644129,1,0
5670,0.0026771,1.995224641e-07,-0.04166644173,1,0
5700,0.0026278,2.023628071e-07,-0.04166644205,1,0
5730,0.0038637,2.06952417e-07,-0.04166644222,1,0
5760,0.0045606,2.122044894e-07,-0.04166644224,1,0
5790,0.0044755,2.173618467e-07,-0.04166644213,1,0
5820,0.0029366,2.219341292e-07,-0.04166644195,1,0
5850,0.0027522,2.256186767e-07,-0.04166644184,1,0
5880,0.0038813,2.282422693e-07,-0.04166644209,1,0
5910,0.0033604,2.297193942e-07,-0.0416664445,1,0
5940,0.0026734,2.30023702e-07,-0.04166644892,1,0
5970,0.0032509,2.291687621e-07,-0.04166645502,1,0
6000,0.0023486,2.271951836e-07,-0.0416664625,1,0
6030,0.0027208,2.241618241e-07,-0.04166647108,1,0
6060,0.0039116,2.201399539e-07,-0.04166648051,1,0
6090,0.0029478,2.152091181e-07,-0.04166649058,1,0
6120,0.002735,2.094540831e-07,-0.04166650108,1,0
6150,0.0037277,2.029626819e-07,-0.04166651183,1,0
6180,0.0033188,1.958241682e-07,-0.04166652267,1,0
6210,0.0026313,1.881278721e-07,-0.04166653348,1,0
6240,0.0025548,1.799620463e-07,-0.04166653487,1,0
