# Un caso por fila. dv_ms es el impulso tangencial planificado (signo = sentido); sens_m_per_mms es la separacion abierta en el encuentro por mm/s aplicado un medio periodo antes.
sigma_nav_m,sigma_obj_m,dInc_deg,vrel_ms,bplane_angle_deg,miss0_m,sens_m_per_mms,d_target_m,dv_ms,converged
12,30,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,192.3438776,0,1
12,100,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,274.7167443,0.00128559252,1
12,300,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,519.5029049,0.01550321923,1
32.1,10,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,206.9425383,0,1
32.1,30,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,216.7250625,0,1
32.1,100,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,284.957387,0.001971739123,1
32.1,300,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,523.0839405,0.01569625713,1
40,10,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,220.3649249,0,1
40,30,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,228.4920631,0,1
40,100,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,291.1462585,0.002377708189,1
40,300,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,525.367016,0.0158192298,1
100,10,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,323.6410742,0.004427081426,1
100,30,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,327.0903836,0.004638098614,1
100,100,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,362.4200233,0.006747324609,1
100,300,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,557.5541641,0.01754543051,1
250,10,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,583.1872836,0.01891129015,1
250,30,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,584.5814124,0.01898537672,1
250,100,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,600.1358309,0.01981068091,1
250,300,22.36006901,2787.017345,223.9430342,256.3736736,13.25517788,718.8588548,0.02604813931,1
4.8,10,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,165.149062,-0.005950149587,1
4.8,30,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,188.890702,-0.007203443908,1
4.8,100,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,276.9114959,-0.0118251258,1
4.8,300,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,530.0076186,-0.02504742715,1
12,10,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,174.3387362,-0.006435803258,1
12,30,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,193.3055043,-0.007436043831,1
12,100,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,278.3331906,-0.01189958561,1
12,300,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,530.4847832,-0.02507232216,1
32.1,10,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,207.0228382,-0.008158042052,1
32.1,30,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,217.3394142,-0.008700424159,1
32.1,100,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,288.3063187,-0.01242180819,1
32.1,300,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,533.96341,-0.02525381,1
40,10,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,220.4299232,-0.008862813393,1
40,30,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,229.0149777,-0.00931371271,1
40,100,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,294.351681,-0.01273827331,1
40,300,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,536.1821723,-0.02536956608,1
100,10,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,323.6674238,-0.01427209711,1
100,30,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,327.3227755,-0.01446326539,1
100,100,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,364.5632956,-0.01641003441,1
100,300,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,567.5364298,-0.02700522609,1
250,10,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,583.1978463,-0.02782214837,1
250,30,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,584.676163,-0.02789925674,1
250,100,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,601.1512028,-0.0287585572,1
250,300,36.56046299,4508.629028,120.0900649,56.21560723,-9.181785457,726.0526627,-0.03527166465,1
4.8,10,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,168.619501,0,1
4.8,30,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,200.6676658,0,1
4.8,100,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,316.8103765,0.002258338237,1
4.8,300,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,649.8783405,0.02234592322,1
12,10,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,176.6376766,0,1
12,30,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,204.1303275,0,1
12,100,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,317.8945553,0.002324020932,1
12,300,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,650.2411771,0.02236775802,1
32.1,10,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,208.0413285,0,1
32.1,30,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,224.7617707,0,1
32.1,100,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,325.6354511,0.00279287425,1
32.1,300,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,652.892101,0.02252728388,1
40,10,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,221.2570405,0,1
40,30,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,235.4288731,0,1
40,100,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,330.4344249,0.003083445169,1
40,300,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,654.5881839,0.02262934843,1
100,10,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,324.0044994,0.002694106241,1
100,30,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,330.2722728,0.003073628236,1
100,100,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,390.3259905,0.006704825603,1
100,300,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,678.9699758,0.02409644642,1
250,10,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,583.3330888,0.01834040277,1
250,30,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,585.8877061,0.01849421044,1
250,100,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,613.9575214,0.02018401248,1
250,300,69.10508987,8152.402214,261.3615993,279.5788824,16.44614954,811.2936075,0.03205556189,1
4.8,10,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,174.114031,-0.003511864039,1
4.8,30,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,218.4135837,-0.005888491272,1
4.8,100,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,376.5077685,-0.01418290247,1
4.8,300,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,829.1163103,-0.03760607137,1
12,10,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,180.7305466,-0.003870003221,1
12,30,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,221.0161843,-0.006026870137,1
12,100,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,377.3073893,-0.01422452438,1
12,300,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,829.3834285,-0.03761985883,1
32.1,10,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,210.0299633,-0.005441970067,1
32.1,30,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,237.7640498,-0.006914974886,1
32.1,100,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,383.0834168,-0.01452512333,1
32.1,300,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,831.3377084,-0.03772072954,1
40,10,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,222.8859828,-0.006126220812,1
40,30,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,247.0118468,-0.00740382307,1
40,100,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,386.7206142,-0.01471436377,1
40,300,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,832.5905382,-0.03778539416,1
100,10,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,324.6778935,-0.01148035282,1
100,30,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,336.0411203,-0.01207375379,1
100,100,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,435.0204365,-0.0172242948,1
100,300,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,850.806566,-0.03872556527,1
250,10,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,583.6039281,-0.02492217978,1
250,30,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,588.305029,-0.02516536066,1
250,100,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,638.6068452,-0.02776641847,1
250,300,32.3160944,4000.119284,119.1402118,111.4302836,-14.71911092,955.3755912,-0.04412115016,1
4.8,10,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,177.2949871,-0.01142773861,1
4.8,30,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,228.4358774,-0.01562593474,1
4.8,100,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,410.1129599,-0.0299958362,1
4.8,300,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,929.9844915,-0.07029030441,1
12,10,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,183.2850765,-0.01192783805,1
12,30,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,230.7159642,-0.01581020499,1
12,100,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,410.8095702,-0.03005027296,1
12,300,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,930.2170768,-0.070308267,1
32.1,10,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,211.3769201,-0.01424083643,1
32.1,30,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,245.7825499,-0.01702352354,1
32.1,100,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,415.8587254,-0.03044475963,1
32.1,300,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,931.9193801,-0.07043973531,1
40,10,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,223.9992994,-0.0152668374,1
40,30,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,254.3219386,-0.01770824003,1
40,100,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,419.0532138,-0.03069427098,1
40,300,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,933.0112943,-0.07052406276,1
100,10,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,325.1453577,-0.02332991396,1
100,30,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,339.9554339,-0.02449633723,1
100,100,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,462.3933928,-0.03407457744,1
100,300,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,948.9409784,-0.07175423473,1
250,10,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,583.7924577,-0.04350901078,1
250,30,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,589.9807574,-0.04398898114,1
250,100,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,655.0639879,-0.04903298609,1
250,300,100.1056114,11019.65872,12.3082407,71.13090554,-1.989421323,1042.079978,-0.07894483661,1
4.8,10,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,174.3484695,0.006396196518,1
4.8,30,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,219.156863,0.009359931769,1
4.8,100,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,379.0020015,0.01847324929,1
4.8,300,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,836.6034446,0.04264715826,1
12,10,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,180.9148503,0.006861839727,1
12,30,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,221.732501,0.009519333105,1
12,100,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,379.7929431,0.01851631719,1
12,300,32.77688473,4055.603757,0.07007854304,121.9033678,0.07537945354,836.8676511,0.04266092878,1
