step_h_s,Np,solve_time_s
5,150,9.7379156
5,150,77.4609617
5,150,66.325233
5,150,65.0549961
5,150,2.9763676
5,150,2.6722103
5,150,2.4134115
5,150,2.0872348
5,150,2.2062416
5,150,1.5876503
5,150,2.1849719
5,150,2.2786818
5,150,2.3925899
5,150,2.1383726
5,150,1.8821151
5,150,1.9361659
5,150,1.9171712
5,150,1.7945718
5,150,1.9182693
5,150,1.7705217
5,150,1.7758011
5,150,2.0421819
5,150,1.6654764
5,150,1.4562183
5,150,1.3728668
5,150,1.4665741
5,150,1.2672657
5,150,1.1821615
5,150,1.1399251
5,150,1.4094153
5,150,1.4219706
5,150,1.1717228
5,150,1.1121484
5,150,0.8795175
5,150,0.728818
5,150,0.4785134
5,150,0.3150226
5,150,0.1288396
5,150,0.132394
5,150,0.1314674
5,150,0.1312275
5,150,0.1209426
5,150,0.1255088
5,150,0.1241814
5,150,0.1208327
5,150,0.1150507
5,150,0.1201024
5,150,0.1217812
5,150,0.1184235
5,150,0.1320102
5,150,0.139632
5,150,0.1275825
5,150,0.1232818
5,150,0.1164314
